item,labelEn,labelAr
http://www.wikidata.org/entity/Q4214013,Lena Karamova,لينا كاراموفا
http://www.wikidata.org/entity/Q12309742,Elisabeth Arnold,إليزابيث أرنولد
http://www.wikidata.org/entity/Q1895389,Margot Schmidt,مارغوت شميدت
http://www.wikidata.org/entity/Q1067281,Lotte Müller,شارلوت مولر
http://www.wikidata.org/entity/Q3978223,Susan D. Kern,سوزان دي. كيرن
http://www.wikidata.org/entity/Q2942091,Catherine Vidal,كاثرين فيدال
http://www.wikidata.org/entity/Q12259819,Isabel Fernández de Castro,إيزابيل فرنانديز دي كاسترو
http://www.wikidata.org/entity/Q1992876,Nina M. Davies,نينا ديفيز
http://www.wikidata.org/entity/Q9029513,Marta Fernández Currás,مارتا فرنانديز
http://www.wikidata.org/entity/Q12329036,Nina Smith,نينا سميث
http://www.wikidata.org/entity/Q88349,Jutta Voss,جوتا فوس
http://www.wikidata.org/entity/Q113539,Kirsten Müller-Vahl,كيرستن مولر
http://www.wikidata.org/entity/Q4947011,Eva Eriksson,إيفا أريكسون
http://www.wikidata.org/entity/Q3218697,Laura Knight-Jadczyk,لورا نايت جادتشيك
http://www.wikidata.org/entity/Q11719779,Janina Adamczyk,جانينا أدامشيك
http://www.wikidata.org/entity/Q122221,Juliette Ernst,جوليت إرنست
http://www.wikidata.org/entity/Q126684,Erna Stahl,إرنا شتال
http://www.wikidata.org/entity/Q6117368,Sally A. Meyer,سالي ماير
http://www.wikidata.org/entity/Q1163432,Daniela Kern,دانييلا كيرن
http://www.wikidata.org/entity/Q2414827,Florence Weber,فلورنسا ويبر
http://www.wikidata.org/entity/Q1246153,Dorothea Arnold,دوروثيا أرنولد
http://www.wikidata.org/entity/Q4245114,Olga Kuznetsova,أولغا كوزنيتسوف
http://www.wikidata.org/entity/Q8195592,Alicia Fernández,اليسيا فرنانديز
http://www.wikidata.org/entity/Q6358057,Kamilia Abdelfattah,كاميليا عبد الفتاح
http://www.wikidata.org/entity/Q3229421,Lena Sanders,لينا ساندرز
http://www.wikidata.org/entity/Q1077636,Chris Paul,كريس باول
http://www.wikidata.org/entity/Q4372660,Tatiana Grigórievna Popova,تاتيانا بوبوف
http://www.wikidata.org/entity/Q5733981,Brigitte Baumann,بريجيت باومان
http://www.wikidata.org/entity/Q1671070,Renate E. Meyer,رينات إي. ماير
http://www.wikidata.org/entity/Q5719319,Barbara Lynn Wilson,باربرا ويلسون
http://www.wikidata.org/entity/Q2941888,Catherine Deschamps,كاثرين ديشان
http://www.wikidata.org/entity/Q5863004,Florence Freeman Jones,فلورنسا جونز
http://www.wikidata.org/entity/Q3427114,Renée Bloch,رينيه بلوخ
http://www.wikidata.org/entity/Q8964287,Gloria E. Barboza,غلوريا باربوزا
http://www.wikidata.org/entity/Q1447250,Yvonne Maurer,ايفون مورير
http://www.wikidata.org/entity/Q6121792,Sarah A.L. Smith,سارة سميث
http://www.wikidata.org/entity/Q11380163,Sanae Itō,سناء ايتو
http://www.wikidata.org/entity/Q3340992,Nicole-Claude Mathieu,نيكول ماتيو
http://www.wikidata.org/entity/Q11719743,Janet K. Braun,جانيت كي. براون
http://www.wikidata.org/entity/Q1429964,Yvonne Meyer,ايفون ماير
http://www.wikidata.org/entity/Q3560448,Violette Rey,فيوليت ري
http://www.wikidata.org/entity/Q5562252,Gillian King,جيليان كينغ
http://www.wikidata.org/entity/Q1381757,Evelyn Huber,إيفلين هوبر
http://www.wikidata.org/entity/Q21340933,Friederike Spitzenberger,Friederike Spitzenberger
http://www.wikidata.org/entity/Q15131266,Dominique Rolland,دومينيكو رولان
http://www.wikidata.org/entity/Q21391286,Meredith A. Lane,ميريديث أ. لين
http://www.wikidata.org/entity/Q21395556,Heidi Hopkins,هيدي هوبكينز
http://www.wikidata.org/entity/Q21388323,Fatima Ali Mohammad,فاطمة علي محمد
http://www.wikidata.org/entity/Q20727356,Mercedes Vidal Lago,مرسيدس فيدال
http://www.wikidata.org/entity/Q19641076,Linda Edwards Graham,ليندا غراهام
http://www.wikidata.org/entity/Q16508840,Yvonne Ziegler,ايفون زيغلر
http://www.wikidata.org/entity/Q18018617,Barbara Müller,باربرا مولر
http://www.wikidata.org/entity/Q21259362,Esther Becker,إستر بيكر
http://www.wikidata.org/entity/Q21264560,Renate Horn,رينات هورن
http://www.wikidata.org/entity/Q21340875,Christine Keller,كريستين كيلر
http://www.wikidata.org/entity/Q15891169,Angela Sirigu,أنجيلا سيريغو
http://www.wikidata.org/entity/Q21392747,Nayla Garcia,نايلة غارسيا
http://www.wikidata.org/entity/Q21393416,Barbara Clarke,باربرا كلارك
http://www.wikidata.org/entity/Q18984088,Elizabeth Winsome Davies,إليزابيث ديفيز
http://www.wikidata.org/entity/Q18985373,Inga Hedberg,انغا هيدبيرغ
http://www.wikidata.org/entity/Q21514168,Katherine Gould,كاثرين غولد
http://www.wikidata.org/entity/Q21516267,Isabel Martínez,إيزابيل مارتينيز
http://www.wikidata.org/entity/Q21518849,Patricia Lewis,باتريشيا لويس
http://www.wikidata.org/entity/Q21522572,Joanne Palmer,جوان بالمر
http://www.wikidata.org/entity/Q21264762,Susanne Schmid,سوزان شميد
http://www.wikidata.org/entity/Q21388715,Tigga Kingston,تيغا كينغستون
http://www.wikidata.org/entity/Q18019433,Dorothea Weber,دوروثيا ويبر
http://www.wikidata.org/entity/Q21518789,Deborah Q. Lewis,ديبورا كسو. لويس
http://www.wikidata.org/entity/Q13410492,Barbara Thomas Keller,باربرا كيلر
http://www.wikidata.org/entity/Q13422666,Ursula Fox,أورسولا فوكس
http://www.wikidata.org/entity/Q16335998,Reiko Hayashi,ريكو هاياشي
http://www.wikidata.org/entity/Q16514973,O. S. Popova,أولغا (اسم) بوبوف
http://www.wikidata.org/entity/Q16489686,Amélia Hamburger,إميليا همبرغر
http://www.wikidata.org/entity/Q15407018,Marie-Amélie Picard,ماري بيكار
http://www.wikidata.org/entity/Q20875967,Eva García Rodríguez,إيفا غارسيا
http://www.wikidata.org/entity/Q19800971,Silvia López Udias,سيلفيا لوبيز
http://www.wikidata.org/entity/Q15833996,Marion G. Müller,ماريون مولر
http://www.wikidata.org/entity/Q17747751,Marie Jahn,ماري يان
http://www.wikidata.org/entity/Q21076198,Diana S. Jones,ديانا إس. جونز
http://www.wikidata.org/entity/Q21031988,Claudia Croos-Müller,كلوديا مولر
http://www.wikidata.org/entity/Q21390191,Irene Zorn,ايرين زورن
http://www.wikidata.org/entity/Q21043084,Juliette Moreau,جوليت مورو
http://www.wikidata.org/entity/Q18222307,Dorothy Howard,دوروثي هوارد
http://www.wikidata.org/entity/Q21183643,Susan B. Adams,سوزان بي. آدامز
http://www.wikidata.org/entity/Q14849466,Beverly Kelly,بيفرلي كيلي
http://www.wikidata.org/entity/Q21338884,Nancy J. Bowers,نانسي جيه. باورز
http://www.wikidata.org/entity/Q21392116,Diane L. Haas,دياني إل. هاس
http://www.wikidata.org/entity/Q21395732,Wendy Lund,ويندي لوند
http://www.wikidata.org/entity/Q15430661,Laura Gilbert,لورا غيلبرت
http://www.wikidata.org/entity/Q21503730,Jessica A. Bennett,جيسيكا أ. بينيت
http://www.wikidata.org/entity/Q19037431,Annie Walker,آني ووكر
http://www.wikidata.org/entity/Q18619971,Catherine Lewis,كاثرين لويس
http://www.wikidata.org/entity/Q21503721,Dorothy Jones,دوروثي جونز
http://www.wikidata.org/entity/Q19345667,Nelly Diego,نيللي دييغو
http://www.wikidata.org/entity/Q19799695,Susan J. Patrick,سوزان جيه. باتريك
