item	itemLabel
http://www.wikidata.org/entity/Q513440	Dorte Andersen
http://www.wikidata.org/entity/Q534686	Angelika Zahrnt
http://www.wikidata.org/entity/Q565490	Anne Kolb
http://www.wikidata.org/entity/Q565816	Anne Steinmeier
http://www.wikidata.org/entity/Q565874	Anne Viola Siebert
http://www.wikidata.org/entity/Q566198	Anneliese Strenger
http://www.wikidata.org/entity/Q566583	Annette Haug
http://www.wikidata.org/entity/Q534304	Angelika Hartmann
http://www.wikidata.org/entity/Q473369	Liliana Heer
http://www.wikidata.org/entity/Q482898	Ana Lucia Frega
http://www.wikidata.org/entity/Q534198	Angelika Berlejung
http://www.wikidata.org/entity/Q548339	Mária Neumann
http://www.wikidata.org/entity/Q562847	Anna Pawełczyńska
http://www.wikidata.org/entity/Q565314	Anne Friedrich
http://www.wikidata.org/entity/Q405407	Macu González
http://www.wikidata.org/entity/Q410304	Aitana Kasulin
http://www.wikidata.org/entity/Q499783	Aurora Rodríguez Carballeira
http://www.wikidata.org/entity/Q529500	Anette Brandhorst
http://www.wikidata.org/entity/Q529537	Anette Rein
http://www.wikidata.org/entity/Q532239	Angela Berlis
http://www.wikidata.org/entity/Q533413	Angela Stifft-Gottlieb
http://www.wikidata.org/entity/Q534327	Angelika Hofer
http://www.wikidata.org/entity/Q534787	Angelina Borić
http://www.wikidata.org/entity/Q551162	Anja Klöckner
http://www.wikidata.org/entity/Q558348	Ann Elliott-Goldschmid
http://www.wikidata.org/entity/Q560840	Anna Hennersperger
http://www.wikidata.org/entity/Q563372	Anna Stemmermann
http://www.wikidata.org/entity/Q566660	Annette Nünnerich-Asmus
http://www.wikidata.org/entity/Q566726	Annette Zgoll
http://www.wikidata.org/entity/Q493970	Andrea Gorys
http://www.wikidata.org/entity/Q550833	Anita Riecher-Rössler
http://www.wikidata.org/entity/Q556909	Anke te Heesen
http://www.wikidata.org/entity/Q558924	Anna-Elisabeth Trappe
http://www.wikidata.org/entity/Q559662	Anna Bańkowska
http://www.wikidata.org/entity/Q561454	Anna Kowalska-Lewicka
http://www.wikidata.org/entity/Q563526	Anna Vietor
http://www.wikidata.org/entity/Q566218	Annelise Heigl-Evers
http://www.wikidata.org/entity/Q566291	Annemarie Häberlin
http://www.wikidata.org/entity/Q566344	Annemarie Schönherr
http://www.wikidata.org/entity/Q404225	Maria Fołtyn
http://www.wikidata.org/entity/Q405548	Silvia Ronchey
http://www.wikidata.org/entity/Q534283	Angelika Geyer
http://www.wikidata.org/entity/Q541393	Marlui Miranda
http://www.wikidata.org/entity/Q549812	Anita Heiliger
http://www.wikidata.org/entity/Q551325	Anja Wolkenhauer
http://www.wikidata.org/entity/Q558907	Anna Charlotte Frölich
http://www.wikidata.org/entity/Q561571	Anna Lechner
http://www.wikidata.org/entity/Q566174	Anneliese Peschlow-Bindokat
http://www.wikidata.org/entity/Q566265	Annemarie Dührssen
http://www.wikidata.org/entity/Q566579	Annette Haller
http://www.wikidata.org/entity/Q482211	Amélie Hoellering
http://www.wikidata.org/entity/Q482978	Ana Mercedes Asuaje de Rugeles
http://www.wikidata.org/entity/Q525161	Yelizaveta Chavdar
http://www.wikidata.org/entity/Q534440	Angelika Lohwasser
http://www.wikidata.org/entity/Q534590	Angelika Schwabe-Kratochwil
http://www.wikidata.org/entity/Q544922	Amada Traba Díaz
http://www.wikidata.org/entity/Q547519	Erzsébet Szalai
http://www.wikidata.org/entity/Q563188	Anna Schomburg
http://www.wikidata.org/entity/Q564865	Anne-Marie Tausch
http://www.wikidata.org/entity/Q566199	Anneliese Ude-Pestel
http://www.wikidata.org/entity/Q566371	Annemarie Wolff-Richter
http://www.wikidata.org/entity/Q572281	Anna Soós
