item	article	labelAr
http://www.wikidata.org/entity/Q2860551	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A	الأرشيف الوطني التونسي
http://www.wikidata.org/entity/Q4314995	https://ar.wikipedia.org/wiki/%D9%82%D8%B3%D9%85_%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D8%A7%D9%84%D8%A3%D8%B0%D8%B1%D8%A8%D9%8A%D8%AC%D8%A7%D9%86%D9%8A	قسم الأرشيف الوطني الأذربيجاني
http://www.wikidata.org/entity/Q6735845	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_(%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA)	الأرشيف الوطني
http://www.wikidata.org/entity/Q4119248	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A2%D8%B3%D8%AA%D8%A7%D9%86_%D9%82%D8%AF%D8%B3_%D8%B1%D8%B6%D9%88%D9%8A_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9	مكتبة آستان قدس رضوي المركزية
http://www.wikidata.org/entity/Q4787283	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A	الأرشيف الوطني الجزائري
http://www.wikidata.org/entity/Q1672405	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A5%D9%8A%D8%B1%D8%A7%D9%86_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9	مكتبة إيران الوطنية
http://www.wikidata.org/entity/Q2778411	https://ar.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D9%83%D8%AA%D8%A8_%D9%88%D8%A7%D9%84%D9%88%D8%AB%D8%A7%D8%A6%D9%82_%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A%D8%A9_(%D9%85%D8%B5%D8%B1)	دار الكتب والوثائق القومية
http://www.wikidata.org/entity/Q2567785	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D9%88%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9_%D8%A8%D8%A3%D8%AB%D9%8A%D9%88%D8%A8%D9%8A%D8%A7	الأرشيف والمكتبة الوطنية بأثيوبيا
http://www.wikidata.org/entity/Q2860546	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_(%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84)	الأرشيف الوطني (البرازيل)
http://www.wikidata.org/entity/Q685753	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D8%B1%D8%A7%D9%84%D9%8A_%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A	الأرشيف الفيدرالي الألماني
http://www.wikidata.org/entity/Q6514373	https://ar.wikipedia.org/wiki/%D9%85%D8%B9%D9%87%D8%AF_%D8%A7%D9%84%D8%B3%D9%8A%D9%86%D9%85%D8%A7_%D8%A7%D9%84%D9%86%D8%B1%D9%88%D9%8A%D8%AC%D9%8A	معهد السينما النرويجي
http://www.wikidata.org/entity/Q905695	https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D9%86%D9%8A%D8%A8%D8%B1%D9%88%D8%AA	يونيبروت
http://www.wikidata.org/entity/Q830106	https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D9%88%D9%86%D9%8A%D9%85%D8%B2	جيونيمز
http://www.wikidata.org/entity/Q845271	https://ar.wikipedia.org/wiki/%D9%84%D8%A7%D9%86%D8%B4%D8%A8%D8%A7%D8%AF	لانشباد
http://www.wikidata.org/entity/Q536580	https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%81%D8%A7%D8%AA%D9%8A%D9%83%D8%A7%D9%86_%D8%A7%D9%84%D8%B3%D8%B1%D9%8A	أرشيف الفاتيكان السري
http://www.wikidata.org/entity/Q620902	https://ar.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D9%83%D8%AA%D8%A8_%D9%88%D8%A7%D9%84%D9%88%D8%AB%D8%A7%D8%A6%D9%82_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9	دار الكتب والوثائق الوطنية
http://www.wikidata.org/entity/Q518155	https://ar.wikipedia.org/wiki/%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9_%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D9%88%D8%A7%D9%84%D9%88%D8%AB%D8%A7%D8%A6%D9%82_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9	إدارة الأرشيف والوثائق الوطنية
http://www.wikidata.org/entity/Q39628	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%88%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D9%83%D9%8A%D8%A8%D9%8A%D9%83	مكتبة وأرشيف كيبيك
http://www.wikidata.org/entity/Q82494	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA_%D8%A7%D9%84%D8%AA%D9%82%D8%A7%D9%86%D8%A9_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A%D8%A9	المركز الوطني لمعلومات التقانة الحيوية
http://www.wikidata.org/entity/Q364	https://ar.wikipedia.org/wiki/%D8%BA%D9%8A%D8%AA_%D9%87%D8%A7%D8%A8	غيت هب
http://www.wikidata.org/entity/Q1146587	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B9%D9%87%D8%AF_%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A_%D9%84%D9%84%D8%B3%D9%8A%D9%86%D9%85%D8%A7	المعهد السويدي للسينما
http://www.wikidata.org/entity/Q823422	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%AC%D9%84_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D9%84%D9%84%D8%A3%D9%81%D9%84%D8%A7%D9%85	سجلات الأفلام الوطنية
http://www.wikidata.org/entity/Q849660	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A8%D9%8A%D8%B1%D8%AF%D8%AC%D9%85%D8%A7%D9%86_%D9%84%D9%84%D9%81%D9%86%D9%88%D9%86	مكتبة بيردجمان للفنون
http://www.wikidata.org/entity/Q131454	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D8%B1%D8%B3	مكتبة الكونغرس
http://www.wikidata.org/entity/Q278487	https://ar.wikipedia.org/wiki/%D8%A8%D9%88%D8%A8_%D9%83%D9%8A%D9%85	بوب كيم
http://www.wikidata.org/entity/Q165400	https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D8%B3_%D9%81%D9%88%D8%B1%D8%AC	سورس فورج
http://www.wikidata.org/entity/Q39048614	https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8	أرشيف المغرب
http://www.wikidata.org/entity/Q30895742	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A_%D9%84%D9%84%D8%AF%D9%88%D9%84%D8%A9_%D8%A8%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9_%D8%A3%D8%B0%D8%B1%D8%A8%D9%8A%D8%AC%D8%A7%D9%86	الأرشيف التاريخي للدولة بجمهورية أذربيجان
http://www.wikidata.org/entity/Q20988728	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_(%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86)	الارشيف الوطني الفلسطيني
http://www.wikidata.org/entity/Q3887925	https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A8%D8%A7%D9%86%D8%AF%D9%88%D8%B1%D8%A7	أرشيف باندورا
http://www.wikidata.org/entity/Q6071135	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%A3%D9%8A%D8%B1%D9%84%D9%86%D8%AF%D9%8A_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%B1%D9%8A	الأرشيف الأيرلندي الكويري
http://www.wikidata.org/entity/Q4117880	https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%A8%D8%B1%D8%AA%D8%BA%D8%A7%D9%84_%D9%84%D9%84%D9%88%D9%8A%D8%A8	أرشيف البرتغال للويب
http://www.wikidata.org/entity/Q36837947	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A_%D9%84%D9%84%D8%AA%D9%88%D8%AB%D9%8A%D9%82_(%D8%AA%D9%88%D9%86%D8%B3)	مركز التوثيق الوطني التونسي
http://www.wikidata.org/entity/Q1453477	https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D9%8A%D8%A8%D9%8A%D8%B3	فريبيس
http://www.wikidata.org/entity/Q2311683	https://ar.wikipedia.org/wiki/%D9%83%D9%8A%D9%85_%D8%B3%D8%A8%D8%A7%D9%8A%D8%AF%D8%B1	كيم سبايدر
http://www.wikidata.org/entity/Q1531570	https://ar.wikipedia.org/wiki/%D9%85%D8%B1%D9%81%D9%82_%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A	مرفق معلومات التنوع الحيوي العالمي
