item	article	label
http://www.wikidata.org/entity/Q2420849	https://ca.wikipedia.org/wiki/Hispanic_Society_of_America	Hispanic Society of America
http://www.wikidata.org/entity/Q188915	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_d%27Israel	Biblioteca Nacional d'Israel
http://www.wikidata.org/entity/Q10709207	https://ca.wikipedia.org/wiki/Biblioteca_de_la_Universitat_d%27Ume%C3%A5	Biblioteca de la Universitat d'Umeå
http://www.wikidata.org/entity/Q781446	https://ca.wikipedia.org/wiki/Biblioteca_Universit%C3%A0ria_Alexandrina	Biblioteca Universitària Alexandrina
http://www.wikidata.org/entity/Q68560204	https://ca.wikipedia.org/wiki/Biblioteca_de_l%27Escola_T%C3%A8cnica_Superior_d%27Enginyeria_Industrial_de_Barcelona	Biblioteca de l'ETSEIB
http://www.wikidata.org/entity/Q16537637	https://ca.wikipedia.org/wiki/Biblioteca_Serra_i_Pag%C3%A8s	Biblioteca Serra i Pagès
http://www.wikidata.org/entity/Q841507	https://ca.wikipedia.org/wiki/CPAN	CPAN
http://www.wikidata.org/entity/Q20064409	https://ca.wikipedia.org/wiki/Biblioteca_de_Gal%C3%ADcia	Biblioteca de Galícia
http://www.wikidata.org/entity/Q625734	https://ca.wikipedia.org/wiki/Biblioteca_de_la_Universitat_de_V%C3%ADlnius	Biblioteca de la Universitat de Vílnius
http://www.wikidata.org/entity/Q13152985	https://ca.wikipedia.org/wiki/Estaci%C3%B3_de_Pont_d%27Inca	estació de Pont d'Inca
http://www.wikidata.org/entity/Q5902841	https://ca.wikipedia.org/wiki/Hospital_Real_de_Granada	Hospital Real de Granada
http://www.wikidata.org/entity/Q17588108	https://ca.wikipedia.org/wiki/Biblioteca_Popular_del_Vendrell	Biblioteca Popular del Vendrell
http://www.wikidata.org/entity/Q17405609	https://ca.wikipedia.org/wiki/Biblioteca_Comarcal_Conangla_i_Fontanilles	Biblioteca Comarcal Conangla i Fontanilles
http://www.wikidata.org/entity/Q17405617	https://ca.wikipedia.org/wiki/Biblioteca_Municipal_d%27Eivissa	Biblioteca Municipal d'Eivissa
http://www.wikidata.org/entity/Q18003406	https://ca.wikipedia.org/wiki/Cal_Gom%C3%A0	Cal Gomà
http://www.wikidata.org/entity/Q17405612	https://ca.wikipedia.org/wiki/Biblioteca_Popular_de_la_Dona	Biblioteca Popular de la Dona
http://www.wikidata.org/entity/Q17405618	https://ca.wikipedia.org/wiki/Biblioteca_V%C3%ADctor_Catal%C3%A0	Biblioteca de l'Escala
http://www.wikidata.org/entity/Q17405626	https://ca.wikipedia.org/wiki/Biblioteca_Popular_de_Valls	Biblioteca Popular de Valls
http://www.wikidata.org/entity/Q17588518	https://ca.wikipedia.org/wiki/Ca_l%27Oliveres	Ca l'Oliveres
http://www.wikidata.org/entity/Q17591015	https://ca.wikipedia.org/wiki/Can_Pedrals	Can Pedrals
http://www.wikidata.org/entity/Q17588106	https://ca.wikipedia.org/wiki/Biblioteca_Beat_Dom%C3%A8nech_Castellet	Biblioteca Beat Domènech Castellet
http://www.wikidata.org/entity/Q26832807	https://ca.wikipedia.org/wiki/Ag%C3%A8ncia_de_Lectura_Ricardo_Mart%C3%ADnez_Guill%C3%A9n_de_Biar	Agència de Lectura Ricardo Martínez Guillén de Biar
http://www.wikidata.org/entity/Q17405599	https://ca.wikipedia.org/wiki/Biblioteca_Balmes	Biblioteca Balmes
http://www.wikidata.org/entity/Q17405601	https://ca.wikipedia.org/wiki/Biblioteca_Beat_Dom%C3%A8nec_Castellet_d%27Esparreguera	Biblioteca Beat Domènec Castellet d'Esparreguera
http://www.wikidata.org/entity/Q5061367	https://ca.wikipedia.org/wiki/Biblioteca_Central_de_la_UNAM	Biblioteca Central
http://www.wikidata.org/entity/Q11680213	https://ca.wikipedia.org/wiki/Biblioteca_de_Montserrat	biblioteca de Montserrat
http://www.wikidata.org/entity/Q17405595	https://ca.wikipedia.org/wiki/Biblioteca_Balear	Biblioteca Balear
http://www.wikidata.org/entity/Q17405604	https://ca.wikipedia.org/wiki/Biblioteca_Popular_de_Sallent	Biblioteca Popular de Sallent
http://www.wikidata.org/entity/Q17405608	https://ca.wikipedia.org/wiki/Biblioteca_Comunal_de_Canillo	Biblioteca Comunal de Canillo
http://www.wikidata.org/entity/Q28038870	https://ca.wikipedia.org/wiki/Biblioteca_comarcal_Carles_Card%C3%B3	Biblioteca comarcal Carles Cardó
http://www.wikidata.org/entity/Q17589867	https://ca.wikipedia.org/wiki/Can_Casacuberta	Can Casacuberta
http://www.wikidata.org/entity/Q17405602	https://ca.wikipedia.org/wiki/Biblioteca_Central_de_Val%C3%A8ncia	Biblioteca Central de València
http://www.wikidata.org/entity/Q17405607	https://ca.wikipedia.org/wiki/Biblioteca_Borja	Biblioteca Borja
