item	article	label
http://www.wikidata.org/entity/Q17152377	https://ca.wikipedia.org/wiki/Arxiu_General_de_la_Diputaci%C3%B3_de_Barcelona	Arxiu General de la Diputació de Barcelona
http://www.wikidata.org/entity/Q17152389	https://ca.wikipedia.org/wiki/Arxiu_Dioces%C3%A0_de_Lleida	Arxiu Diocesà de Lleida
http://www.wikidata.org/entity/Q16879318	https://ca.wikipedia.org/wiki/Arxiu_Nacional_de_Ruanda	Arxiu Nacional de Ruanda
http://www.wikidata.org/entity/Q17152379	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Mollet_del_Vall%C3%A8s	Arxiu Històric de Mollet del Vallès
http://www.wikidata.org/entity/Q17156937	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_l%27Urgell	Arxiu Comarcal de l'Urgell
http://www.wikidata.org/entity/Q17301374	https://ca.wikipedia.org/wiki/Arxius_Nacionals_d%27Andorra	Arxius Nacionals d'Andorra
http://www.wikidata.org/entity/Q18973964	https://ca.wikipedia.org/wiki/Arxiu_General_de_l%27Administraci%C3%B3	Arxiu General de l'Administració
http://www.wikidata.org/entity/Q16867578	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_Provincial_de_Castell%C3%B3	Arxiu Històric Provincial de Castelló
http://www.wikidata.org/entity/Q17043923	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Sabadell	Arxiu Històric de Sabadell
http://www.wikidata.org/entity/Q14915083	https://ca.wikipedia.org/wiki/Arxiu_Nacional_de_Cap_Verd	Arxiu Nacional de Cap Verd
http://www.wikidata.org/entity/Q17152380	https://ca.wikipedia.org/wiki/Arxiu_Intermedi_de_la_Regi%C3%B3_Militar_Pirinenca	Arxiu Intermedi de la Regió Militar Pirinenca
http://www.wikidata.org/entity/Q17156941	https://ca.wikipedia.org/wiki/Arxiu_Central_Administratiu_del_Departament_de_la_Presid%C3%A8ncia	Arxiu Central Administratiu del Departament de la Presidència
http://www.wikidata.org/entity/Q17152378	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_Arxidioces%C3%A0_de_Tarragona	Arxiu Històric Arxidiocesà de Tarragona
http://www.wikidata.org/entity/Q17152385	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Bergued%C3%A0	Arxiu Comarcal del Berguedà
http://www.wikidata.org/entity/Q17152398	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Tarragona	Arxiu Històric de Tarragona
http://www.wikidata.org/entity/Q17152397	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Protocols_de_Barcelona	Arxiu Històric de Protocols de Barcelona
