item	label
http://www.wikidata.org/entity/Q677561	Museu Hammer
http://www.wikidata.org/entity/Q705557	Art Gallery of South Australia
http://www.wikidata.org/entity/Q3878590	Norton Museum of Art
http://www.wikidata.org/entity/Q5543273	George Peabody Library
http://www.wikidata.org/entity/Q705551	Art Gallery of New South Wales
http://www.wikidata.org/entity/Q1068063	Museu de Belles Arts del Canadà
http://www.wikidata.org/entity/Q872896	Biblioteca de la Universitat de Leipzig
http://www.wikidata.org/entity/Q1061094	Kelvingrove Art Gallery and Museum
http://www.wikidata.org/entity/Q4796632	Art, Design & Architecture Museum
http://www.wikidata.org/entity/Q689829	Museu Oskar Reinhart
http://www.wikidata.org/entity/Q4693034	Agnes Etherington Art Centre
http://www.wikidata.org/entity/Q1201876	Open Library
http://www.wikidata.org/entity/Q5408662	Biblioteca del Congrés Nacional d'Argentina
http://www.wikidata.org/entity/Q1967876	Biblioteca Nacional de la República Txeca
http://www.wikidata.org/entity/Q2805178	Galerij Prins Willem V
http://www.wikidata.org/entity/Q2947745	Museu d'Orsanmichele
http://www.wikidata.org/entity/Q3075489	Fundació Louis Vuitton
http://www.wikidata.org/entity/Q1183941	Museu d'Art de Delaware
http://www.wikidata.org/entity/Q5728032	Biblioteca del Congrés Nacional de Xile
http://www.wikidata.org/entity/Q1132918	Museu Nacional d'Art, Arquitectura i Disseny
http://www.wikidata.org/entity/Q2628596	Palais des beaux-arts de Lille
http://www.wikidata.org/entity/Q1167467	Galeria Nacional d'Atenes
http://www.wikidata.org/entity/Q1192305	Smithsonian American Art Museum
http://www.wikidata.org/entity/Q1117704	Museu d'Art d'Indianàpolis
http://www.wikidata.org/entity/Q2620702	musée Bonnat-Helleu
http://www.wikidata.org/entity/Q2997830	Museu d'Art Philbrook
http://www.wikidata.org/entity/Q3412050	Grand Rapids Art Museum
http://www.wikidata.org/entity/Q700959	Museu Wallraf-Richartz
http://www.wikidata.org/entity/Q2977589	Museu d'Art Ohara
http://www.wikidata.org/entity/Q3007727	Currier Museum of Art
http://www.wikidata.org/entity/Q3094617	Galeriat Morava de Brno
http://www.wikidata.org/entity/Q3492931	Speed Art Museum
http://www.wikidata.org/entity/Q3663151	Fundació Yannick i Ben Jakober
http://www.wikidata.org/entity/Q44724678	Hall of Fame del futbol italià
http://www.wikidata.org/entity/Q745866	Museu d'Art de Dallas
http://www.wikidata.org/entity/Q751172	Museu Andy Warhol
http://www.wikidata.org/entity/Q1203458	Galleria Doria Pamphilj
http://www.wikidata.org/entity/Q1616123	Scheepvaartmuseum
http://www.wikidata.org/entity/Q843638	MOA
http://www.wikidata.org/entity/Q845468	Museu d'Art Modern i Contemporani
http://www.wikidata.org/entity/Q1328052	Jamaica Inn
http://www.wikidata.org/entity/Q1186756	Den Gamle By
http://www.wikidata.org/entity/Q3075008	Folk Art Center
http://www.wikidata.org/entity/Q1248553	Residenzgalerie
http://www.wikidata.org/entity/Q2496316	Biblioteca de la Universitat de Kassel
http://www.wikidata.org/entity/Q8875	LVR-Freilichtmuseum Kommern
http://www.wikidata.org/entity/Q488005	National Aviation Hall of Fame
http://www.wikidata.org/entity/Q812285	Col·leccions de pintura de l'estat de Baviera
http://www.wikidata.org/entity/Q6379617	DIC
http://www.wikidata.org/entity/Q3348664	Ocean Institute
http://www.wikidata.org/entity/Q4967319	Brigham Young University Museum of Art
http://www.wikidata.org/entity/Q6515835	Leeds Art Gallery
http://www.wikidata.org/entity/Q3042272	Itsasmuseum Bilbao
http://www.wikidata.org/entity/Q4819492	Auckland Art Gallery
http://www.wikidata.org/entity/Q7784619	Thinktank, Birmingham Science Museum
http://www.wikidata.org/entity/Q4968030	Guildhall Art Gallery
http://www.wikidata.org/entity/Q6352575	Centre d'Art Britànic de Yale
http://www.wikidata.org/entity/Q6519762	Leighton House Museum
http://www.wikidata.org/entity/Q6034074	Museo de Jaén
http://www.wikidata.org/entity/Q2057876	Acadèmia Argentina de Lletres
http://www.wikidata.org/entity/Q2310268	Biblioteca de Recerca del Rijksmuseum
http://www.wikidata.org/entity/Q2007919	Biblioteca i Museu Presidencial de John F. Kennedy
http://www.wikidata.org/entity/Q36185027	Mabry Mill Cultural Site
http://www.wikidata.org/entity/Q66494205	Mountain Farm Museum
http://www.wikidata.org/entity/Q5114675	museu Chrysler
http://www.wikidata.org/entity/Q7708449	Textfiles.com
http://www.wikidata.org/entity/Q81180	Premi Grammy del Saló de la Fama
http://www.wikidata.org/entity/Q6815343	Memorial Art Gallery
http://www.wikidata.org/entity/Q5248044	Debel Gallery, Jerusalem
http://www.wikidata.org/entity/Q1666299	International Academy of Jazz Hall of Fame
http://www.wikidata.org/entity/Q4859590	Barber Institute of Fine Arts
http://www.wikidata.org/entity/Q4879717	Beecroft Art Gallery
http://www.wikidata.org/entity/Q6940507	Museu Nacional de San Carlos
http://www.wikidata.org/entity/Q6940651	Museum Enschedé
http://www.wikidata.org/entity/Q1234343	Petőfi Irodalmi Múzeum
http://www.wikidata.org/entity/Q114418	International Jewish Sports Hall of Fame
http://www.wikidata.org/entity/Q782783	Memorial de Guerra Australià
http://www.wikidata.org/entity/Q1070969	LibriVox
http://www.wikidata.org/entity/Q7569107	Southampton City Art Gallery
http://www.wikidata.org/entity/Q5935366	Museu d'Art de Columbus
http://www.wikidata.org/entity/Q1954787	Museum voor Communicatie
http://www.wikidata.org/entity/Q13035451	Michaelis Collection
http://www.wikidata.org/entity/Q6055547	Internet Hall of Fame
http://www.wikidata.org/entity/Q3194318	DC++
http://www.wikidata.org/entity/Q19835482	BioRxiv
http://www.wikidata.org/entity/Q5587398	Gospel Music Hall of Fame
http://www.wikidata.org/entity/Q6088683	Museu de Zoologia d'Istanbul
http://www.wikidata.org/entity/Q64581187	Discografia Nazionale della Canzone Italiana
http://www.wikidata.org/entity/Q60648666	DiVA portal
http://www.wikidata.org/entity/Q727245	USS North Carolina
http://www.wikidata.org/entity/Q5161648	Saló de la Fama de les Dones de Connecticut
http://www.wikidata.org/entity/Q5727935	Biblioteca Virtual d'Andalusia
http://www.wikidata.org/entity/Q897468	Fortalesa de Monostor
http://www.wikidata.org/entity/Q233098	Museu d'història natural de Berlín
http://www.wikidata.org/entity/Q11795583	Saló de la Fama de les Dones d'Ohio
http://www.wikidata.org/entity/Q12110695	Galeria Courtauld
http://www.wikidata.org/entity/Q5148987	Saló de la Fama de les Dones de Colorado
http://www.wikidata.org/entity/Q10886452	Museu d'Art He Xiangning
http://www.wikidata.org/entity/Q7741188	The Hyde Collection
http://www.wikidata.org/entity/Q10927199	Biblioteca de la Universitat Nacional de Taiwan
http://www.wikidata.org/entity/Q758657	Museu Memorial de Guerra d'Auckland
