order	rank	section
0	1	Funcions
0	2	Descripció
1	1	L'edifici
1	2	Col·leccions
2	1	Alguns documents
2	2	Fons documentals
3	1	La seu
3	2	Arxivers
4	1	Fons documental de l'Arxiu Municipal de Rubí
4	2	Reconeixement
5	1	Edificis
5	2	Biblioteca
