item	itemLabel	article
http://www.wikidata.org/entity/Q19895130	Kellyn George	https://ca.wikipedia.org/wiki/Kellyn_George
http://www.wikidata.org/entity/Q20902268	Tamāra Zitcere	https://ca.wikipedia.org/wiki/Tamara_Zitcere
http://www.wikidata.org/entity/Q20995158	María Cascales Angosto	https://ca.wikipedia.org/wiki/Mar%C3%ADa_Cascales_Angosto
http://www.wikidata.org/entity/Q21062251	Kathryn North	https://ca.wikipedia.org/wiki/Kathryn_North
http://www.wikidata.org/entity/Q21598065	Nadezhda A. Agaltsova	https://ca.wikipedia.org/wiki/Nadejda_Agaltsova
http://www.wikidata.org/entity/Q21598084	Idelisa Bonnelly	https://ca.wikipedia.org/wiki/Idelisa_Bonnelly
http://www.wikidata.org/entity/Q28745752	Elena García Armada	https://ca.wikipedia.org/wiki/Elena_Garc%C3%ADa_Armada
http://www.wikidata.org/entity/Q25345237	Jenny Baeseman	https://ca.wikipedia.org/wiki/Jenny_Baeseman
http://www.wikidata.org/entity/Q21496212	Antonia López González	https://ca.wikipedia.org/wiki/Antonia_L%C3%B3pez_Gonz%C3%A1lez
http://www.wikidata.org/entity/Q25999469	Margaret Bradshaw	https://ca.wikipedia.org/wiki/Margaret_Bradshaw
http://www.wikidata.org/entity/Q23707241	Inés Moisset	https://ca.wikipedia.org/wiki/In%C3%A9s_Moisset
http://www.wikidata.org/entity/Q26211066	Corina Brussaard	https://ca.wikipedia.org/wiki/Corina_Brussaard
http://www.wikidata.org/entity/Q24042294	Q24042294	https://ca.wikipedia.org/wiki/Mavi_S%C3%A1nchez-Vives
http://www.wikidata.org/entity/Q24593723	Robin Bell	https://ca.wikipedia.org/wiki/Robin_Elizabeth_Bell
http://www.wikidata.org/entity/Q27909585	Selina Todd	https://ca.wikipedia.org/wiki/Selina_Todd
http://www.wikidata.org/entity/Q28381389	Piedad de la Cierva	https://ca.wikipedia.org/wiki/Piedad_de_la_Cierva
http://www.wikidata.org/entity/Q55603634	Alice McLaren	https://ca.wikipedia.org/wiki/Alice_McLaren
http://www.wikidata.org/entity/Q28560647	Cynthia Westcott	https://ca.wikipedia.org/wiki/Cynthia_Westcott
http://www.wikidata.org/entity/Q57766505	Belén Franch Gras	https://ca.wikipedia.org/wiki/Bel%C3%A9n_Franch_Gras
http://www.wikidata.org/entity/Q59418309	Maria Pilar Gil	https://ca.wikipedia.org/wiki/M._Pilar_Gil
http://www.wikidata.org/entity/Q56616449	Barbara Bachmann	https://ca.wikipedia.org/wiki/Barbara_Bachmann
http://www.wikidata.org/entity/Q56760738	Cristina Fillat i Fonts	https://ca.wikipedia.org/wiki/Cristina_Fillat_i_Fonts
http://www.wikidata.org/entity/Q48187947	Nisreen El-Hashemite	https://ca.wikipedia.org/wiki/Nisreen_El-Hashemite
http://www.wikidata.org/entity/Q53488524	Susan Margulies	https://ca.wikipedia.org/wiki/Susan_Margulies
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie	https://ca.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
http://www.wikidata.org/entity/Q49034	Hedy Lamarr	https://ca.wikipedia.org/wiki/Hedy_Lamarr
http://www.wikidata.org/entity/Q61641333	Michelle Amos	https://ca.wikipedia.org/wiki/Michelle_Amos
http://www.wikidata.org/entity/Q76346	Mileva Marić	https://ca.wikipedia.org/wiki/Mileva_Mari%C4%87
http://www.wikidata.org/entity/Q106077	Lady Godiva	https://ca.wikipedia.org/wiki/Lady_Godiva
http://www.wikidata.org/entity/Q29571	Jeanne Villepreux-Power	https://ca.wikipedia.org/wiki/Jeanne_Villepreux-Power
http://www.wikidata.org/entity/Q441382	Christine Ladd-Franklin	https://ca.wikipedia.org/wiki/Christine_Ladd-Franklin
http://www.wikidata.org/entity/Q449487	Florence R. Sabin	https://ca.wikipedia.org/wiki/Florence_R._Sabin
http://www.wikidata.org/entity/Q452116	Julia Robinson	https://ca.wikipedia.org/wiki/Julia_Robinson
http://www.wikidata.org/entity/Q463891	Virginia Apgar	https://ca.wikipedia.org/wiki/Virginia_Apgar
http://www.wikidata.org/entity/Q459171	Judith Reisman	https://ca.wikipedia.org/wiki/Judith_Reisman
http://www.wikidata.org/entity/Q180383	Helen Clark	https://ca.wikipedia.org/wiki/Helen_Clark
http://www.wikidata.org/entity/Q185007	Rita Levi-Montalcini	https://ca.wikipedia.org/wiki/Rita_Levi-Montalcini
http://www.wikidata.org/entity/Q200392	Maria Gaetana Agnesi	https://ca.wikipedia.org/wiki/Maria_Gaetana_Agnesi
http://www.wikidata.org/entity/Q214475	Ayaan Hirsi Ali	https://ca.wikipedia.org/wiki/Ayaan_Hirsi_Ali
http://www.wikidata.org/entity/Q268702	Mary Somerville	https://ca.wikipedia.org/wiki/Mary_Somerville
http://www.wikidata.org/entity/Q268912	Mary Ellen Weber	https://ca.wikipedia.org/wiki/Mary_Ellen_Weber
http://www.wikidata.org/entity/Q272256	Virginia Henderson	https://ca.wikipedia.org/wiki/Virginia_Henderson
http://www.wikidata.org/entity/Q184746	Jane Goodall	https://ca.wikipedia.org/wiki/Jane_Goodall
http://www.wikidata.org/entity/Q66161	Emilie Snethlage	https://ca.wikipedia.org/wiki/Maria_Emilie_Snethlage
http://www.wikidata.org/entity/Q232810	Mary Temple Grandin	https://ca.wikipedia.org/wiki/Temple_Grandin
http://www.wikidata.org/entity/Q234224	Dian Fossey	https://ca.wikipedia.org/wiki/Dian_Fossey
http://www.wikidata.org/entity/Q242680	Birutė Galdikas	https://ca.wikipedia.org/wiki/Birut%C3%A9_Galdikas
http://www.wikidata.org/entity/Q234583	Lynn Margulis	https://ca.wikipedia.org/wiki/Lynn_Margulis
http://www.wikidata.org/entity/Q270550	Suzanne Morrow	https://ca.wikipedia.org/wiki/Suzanne_Morrow
http://www.wikidata.org/entity/Q831152	Beth Shapiro	https://ca.wikipedia.org/wiki/Beth_Shapiro
http://www.wikidata.org/entity/Q77193	Sahra Wagenknecht	https://ca.wikipedia.org/wiki/Sahra_Wagenknecht
http://www.wikidata.org/entity/Q64528	Andrea Fischer	https://ca.wikipedia.org/wiki/Andrea_Fischer
http://www.wikidata.org/entity/Q77008	Sylvia Nasar	https://ca.wikipedia.org/wiki/Sylvia_Nasar
http://www.wikidata.org/entity/Q7231	Rosa Luxemburg	https://ca.wikipedia.org/wiki/Rosa_Luxemburg
http://www.wikidata.org/entity/Q7273	Ellen Swallow Richards	https://ca.wikipedia.org/wiki/Ellen_Swallow_Richards
http://www.wikidata.org/entity/Q40722	Dilma Rousseff	https://ca.wikipedia.org/wiki/Dilma_Rousseff
http://www.wikidata.org/entity/Q43179	Ellen Johnson Sirleaf	https://ca.wikipedia.org/wiki/Ellen_Johnson_Sirleaf
http://www.wikidata.org/entity/Q76851	Amalie Dietrich	https://ca.wikipedia.org/wiki/Amalie_Dietrich
http://www.wikidata.org/entity/Q95273	Juliane Koepcke	https://ca.wikipedia.org/wiki/Juliane_Koepcke
http://www.wikidata.org/entity/Q100948	Rachel Carson	https://ca.wikipedia.org/wiki/Rachel_Carson
http://www.wikidata.org/entity/Q72787	Charlotte Auerbach	https://ca.wikipedia.org/wiki/Charlotte_Auerbach
http://www.wikidata.org/entity/Q432932	Alexandra Popp	https://ca.wikipedia.org/wiki/Alexandra_Popp
http://www.wikidata.org/entity/Q1027328	Callista Roy	https://ca.wikipedia.org/wiki/Callista_Roy
http://www.wikidata.org/entity/Q66161	Emilie Snethlage	https://ca.wikipedia.org/wiki/Maria_Emilie_Snethlage
http://www.wikidata.org/entity/Q1617351	Alice Middleton Boring	https://ca.wikipedia.org/wiki/Alice_Middleton_Boring
http://www.wikidata.org/entity/Q433487	Nettie Stevens	https://ca.wikipedia.org/wiki/Nettie_Stevens
http://www.wikidata.org/entity/Q462582	Pythias	https://ca.wikipedia.org/wiki/P%C3%ADties_d%27Assos
http://www.wikidata.org/entity/Q48283	Yulia Tymoshenko	https://ca.wikipedia.org/wiki/I%C3%BAlia_Timoixenko
http://www.wikidata.org/entity/Q57379	Dalia Grybauskaitė	https://ca.wikipedia.org/wiki/Dalia_Grybauskait%C4%97
http://www.wikidata.org/entity/Q61299	Zinaida Greceanîi	https://ca.wikipedia.org/wiki/Zinaida_Grecean%C3%AEi
http://www.wikidata.org/entity/Q61938	Hannelore Kraft	https://ca.wikipedia.org/wiki/Hannelore_Kraft
http://www.wikidata.org/entity/Q62343	Michaele Schreyer	https://ca.wikipedia.org/wiki/Michaele_Schreyer
http://www.wikidata.org/entity/Q523424	Florence Augusta Merriam Bailey	https://ca.wikipedia.org/wiki/Florence_Augusta_Merriam_Bailey
http://www.wikidata.org/entity/Q542428	Anne McLaren	https://ca.wikipedia.org/wiki/Anne_McLaren
http://www.wikidata.org/entity/Q11941420	Pia Bosch i Codolà	https://ca.wikipedia.org/wiki/Pia_Bosch_i_Codol%C3%A0
http://www.wikidata.org/entity/Q66763497	Q66763497	https://ca.wikipedia.org/wiki/Josefa_Barba-Gos%C3%A9_Flexner
http://www.wikidata.org/entity/Q107037	Leymah Gbowee	https://ca.wikipedia.org/wiki/Leymah_Gbowee
http://www.wikidata.org/entity/Q208377	Tansu Çiller	https://ca.wikipedia.org/wiki/Tansu_%C3%87iller
http://www.wikidata.org/entity/Q215342	Maria Kaczyńska	https://ca.wikipedia.org/wiki/Maria_Kaczy%C5%84ska
http://www.wikidata.org/entity/Q215139	Emily Greene Balch	https://ca.wikipedia.org/wiki/Emily_Greene_Balch
http://www.wikidata.org/entity/Q230861	Édith Cresson	https://ca.wikipedia.org/wiki/%C3%89dith_Cresson
http://www.wikidata.org/entity/Q231320	Camilla Läckberg	https://ca.wikipedia.org/wiki/Camilla_L%C3%A4ckberg
http://www.wikidata.org/entity/Q969521	Jemima Blackburn	https://ca.wikipedia.org/wiki/Jemima_Blackburn
http://www.wikidata.org/entity/Q1264246	Bertha Lutz	https://ca.wikipedia.org/wiki/Bertha_Lutz
http://www.wikidata.org/entity/Q123665	Gloria Macapagal-Arroyo	https://ca.wikipedia.org/wiki/Gloria_Macapagal-Arroyo
http://www.wikidata.org/entity/Q124316	Beatrice Weder di Mauro	https://ca.wikipedia.org/wiki/Beatrice_Weder_di_Mauro
http://www.wikidata.org/entity/Q153761	Elinor Ostrom	https://ca.wikipedia.org/wiki/Elinor_Ostrom
http://www.wikidata.org/entity/Q228801	Colleen McCullough	https://ca.wikipedia.org/wiki/Colleen_McCullough
http://www.wikidata.org/entity/Q185007	Rita Levi-Montalcini	https://ca.wikipedia.org/wiki/Rita_Levi-Montalcini
http://www.wikidata.org/entity/Q258385	Roberta Bondar	https://ca.wikipedia.org/wiki/Roberta_Bondar
http://www.wikidata.org/entity/Q231093	Mayim Bialik	https://ca.wikipedia.org/wiki/Mayim_Bialik
http://www.wikidata.org/entity/Q287752	Charlotte Perkins Gilman	https://ca.wikipedia.org/wiki/Charlotte_Perkins_Gilman
http://www.wikidata.org/entity/Q288348	Hilda Gadea	https://ca.wikipedia.org/wiki/Hilda_Gadea_Acosta
http://www.wikidata.org/entity/Q272973	Cécile Vogt-Mugnier	https://ca.wikipedia.org/wiki/C%C3%A9cile_Vogt
http://www.wikidata.org/entity/Q289350	Ngozi Okonjo-Iweala	https://ca.wikipedia.org/wiki/Ngozi_Okonjo-Iweala
http://www.wikidata.org/entity/Q299646	Ana Botín	https://ca.wikipedia.org/wiki/Ana_Patricia_Bot%C3%ADn-Sanz_de_Sautuola_O%27Shea
http://www.wikidata.org/entity/Q118969	Winona LaDuke	https://ca.wikipedia.org/wiki/Winona_LaDuke
http://www.wikidata.org/entity/Q523424	Florence Augusta Merriam Bailey	https://ca.wikipedia.org/wiki/Florence_Augusta_Merriam_Bailey
http://www.wikidata.org/entity/Q510587	Patricia S. Goldman-Rakic	https://ca.wikipedia.org/wiki/Patricia_Goldman-Rakic
http://www.wikidata.org/entity/Q3278112	Dorothea Bate	https://ca.wikipedia.org/wiki/Dorothea_Bate
http://www.wikidata.org/entity/Q3138473	Kristine Bonnevie	https://ca.wikipedia.org/wiki/Kristine_Bonnevie
http://www.wikidata.org/entity/Q3263737	Louise Emmons	https://ca.wikipedia.org/wiki/Louise_Hickock_Emmons
http://www.wikidata.org/entity/Q1896519	Maria Linden	https://ca.wikipedia.org/wiki/Maria_von_Linden
http://www.wikidata.org/entity/Q3291703	Marie-Claude Bomsel	https://ca.wikipedia.org/wiki/Marie-Claude_Bomsel
http://www.wikidata.org/entity/Q234653	Sheryl Sandberg	https://ca.wikipedia.org/wiki/Sheryl_Sandberg
http://www.wikidata.org/entity/Q234570	Harriet Martineau	https://ca.wikipedia.org/wiki/Harriet_Martineau
http://www.wikidata.org/entity/Q234793	Joan Robinson	https://ca.wikipedia.org/wiki/Joan_Robinson
http://www.wikidata.org/entity/Q236606	Naomi Klein	https://ca.wikipedia.org/wiki/Naomi_Klein
http://www.wikidata.org/entity/Q236020	Luisa Diogo	https://ca.wikipedia.org/wiki/Lu%C3%ADsa_Dias_Diogo
http://www.wikidata.org/entity/Q239419	Saskia Sassen	https://ca.wikipedia.org/wiki/Saskia_Sassen
http://www.wikidata.org/entity/Q242090	Danuta Hübner	https://ca.wikipedia.org/wiki/Danuta_H%C3%BCbner
http://www.wikidata.org/entity/Q242666	Beatrice Webb	https://ca.wikipedia.org/wiki/Beatrice_Webb
http://www.wikidata.org/entity/Q254122	Hina Rabbani Khar	https://ca.wikipedia.org/wiki/Hina_Rabbani_Khar
http://www.wikidata.org/entity/Q260819	Bibiana Aído	https://ca.wikipedia.org/wiki/Bibiana_A%C3%ADdo_Almagro
http://www.wikidata.org/entity/Q257779	Kazimira Prunskienė	https://ca.wikipedia.org/wiki/Kazimira_Prunskien%C4%97
http://www.wikidata.org/entity/Q263322	Elaine Chao	https://ca.wikipedia.org/wiki/Elaine_Chao
http://www.wikidata.org/entity/Q263725	Janet Yellen	https://ca.wikipedia.org/wiki/Janet_Yellen
http://www.wikidata.org/entity/Q265277	Kristalina Georgieva	https://ca.wikipedia.org/wiki/Kristalina_Gueorguieva
http://www.wikidata.org/entity/Q266114	Elena Salgado	https://ca.wikipedia.org/wiki/Elena_Salgado_M%C3%A9ndez
http://www.wikidata.org/entity/Q268675	Christiane Taubira	https://ca.wikipedia.org/wiki/Christiane_Taubira
http://www.wikidata.org/entity/Q270883	Magdalena Álvarez	https://ca.wikipedia.org/wiki/Magdalena_%C3%81lvarez_Arza
http://www.wikidata.org/entity/Q270735	Susan George	https://ca.wikipedia.org/wiki/Susan_George_(polit%C3%B2loga)
http://www.wikidata.org/entity/Q270358	Aušra Augustinavičiūtė	https://ca.wikipedia.org/wiki/Au%C5%A1ra_Augustinavi%C4%8Di%C5%ABt%C4%97
http://www.wikidata.org/entity/Q274770	Corina Crețu	https://ca.wikipedia.org/wiki/Corina_Cre%C8%9Bu
http://www.wikidata.org/entity/Q518828	Christiana Figueres	https://ca.wikipedia.org/wiki/Christiana_Figueres
http://www.wikidata.org/entity/Q3278112	Dorothea Bate	https://ca.wikipedia.org/wiki/Dorothea_Bate
http://www.wikidata.org/entity/Q433210	Rita Barberá Nolla	https://ca.wikipedia.org/wiki/Rita_Barber%C3%A0_Nolla
http://www.wikidata.org/entity/Q434509	Esther Duflo	https://ca.wikipedia.org/wiki/Esther_Duflo
http://www.wikidata.org/entity/Q433345	Rosa Aguilar	https://ca.wikipedia.org/wiki/Rosa_Aguilar_Rivero
http://www.wikidata.org/entity/Q433201	Rose Friedman	https://ca.wikipedia.org/wiki/Rose_Friedman
http://www.wikidata.org/entity/Q3263737	Louise Emmons	https://ca.wikipedia.org/wiki/Louise_Hickock_Emmons
http://www.wikidata.org/entity/Q434706	Elizabeth Warren	https://ca.wikipedia.org/wiki/Elizabeth_Warren
http://www.wikidata.org/entity/Q453730	Fátima Báñez	https://ca.wikipedia.org/wiki/Mar%C3%ADa_F%C3%A1tima_B%C3%A1%C3%B1ez_Garc%C3%ADa
http://www.wikidata.org/entity/Q3051183	A. Elizabeth Adams	https://ca.wikipedia.org/wiki/Amy_Elizabeth_Adams
http://www.wikidata.org/entity/Q3819010	Lynn Kimsey	https://ca.wikipedia.org/wiki/Lynn_Kimsey
http://www.wikidata.org/entity/Q3725559	Enrica Calabresi	https://ca.wikipedia.org/wiki/Enrica_Calabresi
http://www.wikidata.org/entity/Q4766275	Ann Bishop	https://ca.wikipedia.org/wiki/Ann_Bishop
http://www.wikidata.org/entity/Q3935904	Rina Monti	https://ca.wikipedia.org/wiki/Rina_Monti
http://www.wikidata.org/entity/Q14754989	Elena Cattaneo	https://ca.wikipedia.org/wiki/Elena_Cattaneo
http://www.wikidata.org/entity/Q4814829	Cornelia Clapp	https://ca.wikipedia.org/wiki/Cornelia_Clapp
http://www.wikidata.org/entity/Q459196	Elżbieta Bieńkowska	https://ca.wikipedia.org/wiki/El%C5%BCbieta_Bie%C5%84kowska
http://www.wikidata.org/entity/Q456003	Anna Tibaijuka	https://ca.wikipedia.org/wiki/Anna_Tibaijuka
http://www.wikidata.org/entity/Q384493	Maravillas Rojo	https://ca.wikipedia.org/wiki/Maravillas_Rojo_Torrecilla
http://www.wikidata.org/entity/Q457914	Alisa Marić	https://ca.wikipedia.org/wiki/Alisa_Mari%C4%87
http://www.wikidata.org/entity/Q16734989	Isabelle Rapin	https://ca.wikipedia.org/wiki/Isabelle_Rapin
http://www.wikidata.org/entity/Q17626455	Frances Ames	https://ca.wikipedia.org/wiki/Frances_Ames
http://www.wikidata.org/entity/Q16875920	Marian Diamond	https://ca.wikipedia.org/wiki/Marian_Diamond
http://www.wikidata.org/entity/Q461302	Tatiana Zaslavskaya	https://ca.wikipedia.org/wiki/Tatiana_Zasl%C3%A0vskaia
http://www.wikidata.org/entity/Q466993	Dambisa Moyo	https://ca.wikipedia.org/wiki/Dambisa_Moyo
http://www.wikidata.org/entity/Q466349	Kristina Háfoss	https://ca.wikipedia.org/wiki/Kristina_H%C3%A1foss
http://www.wikidata.org/entity/Q466819	Josefina Vázquez Mota	https://ca.wikipedia.org/wiki/Josefina_V%C3%A1zquez_Mota
http://www.wikidata.org/entity/Q468103	Vasso Papandreou	https://ca.wikipedia.org/wiki/Vaso_Papandreu
http://www.wikidata.org/entity/Q484605	Christine Lagarde	https://ca.wikipedia.org/wiki/Christine_Lagarde
http://www.wikidata.org/entity/Q5372983	Emma Turner	https://ca.wikipedia.org/wiki/Emma_Turner
http://www.wikidata.org/entity/Q6968821	Nathalie Zand	https://ca.wikipedia.org/wiki/Nathalie_Zand
http://www.wikidata.org/entity/Q64528181	Q64528181	https://ca.wikipedia.org/wiki/Maril%C3%A9n_Barcel%C3%B3_Verea
http://www.wikidata.org/entity/Q242542	Margaret Murray	https://ca.wikipedia.org/wiki/Margaret_Murray
http://www.wikidata.org/entity/Q442750	Barbara G. Adams	https://ca.wikipedia.org/wiki/Barbara_Adams
http://www.wikidata.org/entity/Q433814	Salima Ikram	https://ca.wikipedia.org/wiki/Salima_Ikram
http://www.wikidata.org/entity/Q438850	Miriam Lichtheim	https://ca.wikipedia.org/wiki/Miriam_Lichtheim
http://www.wikidata.org/entity/Q270319	Christiane Desroches Noblecourt	https://ca.wikipedia.org/wiki/Christiane_Desroches_Noblecourt
http://www.wikidata.org/entity/Q691067	María Antonia Avilés Perea	https://ca.wikipedia.org/wiki/Mar%C3%ADa_Antonia_Avil%C3%A9s_Perea
http://www.wikidata.org/entity/Q6938669	Muriel Robertson	https://ca.wikipedia.org/wiki/Muriel_Robertson
http://www.wikidata.org/entity/Q964228	Ester Boserup	https://ca.wikipedia.org/wiki/Ester_Boserup
http://www.wikidata.org/entity/Q1618182	Hilda Petrie	https://ca.wikipedia.org/wiki/Hilda_Petrie
http://www.wikidata.org/entity/Q8068992	Zena Tooze	https://ca.wikipedia.org/wiki/Zena_Tooze
http://www.wikidata.org/entity/Q21062251	Kathryn North	https://ca.wikipedia.org/wiki/Kathryn_North
http://www.wikidata.org/entity/Q2144921	Renée Friedman	https://ca.wikipedia.org/wiki/Ren%C3%A9e_Friedman
http://www.wikidata.org/entity/Q2061302	Christiane Ziegler	https://ca.wikipedia.org/wiki/Christiane_Ziegler
http://www.wikidata.org/entity/Q1156266	Doreen Massey	https://ca.wikipedia.org/wiki/Doreen_Massey
http://www.wikidata.org/entity/Q6153359	Janet Gibson	https://ca.wikipedia.org/wiki/Janet_Gibson
http://www.wikidata.org/entity/Q15430340	Mary Anne Whitby	https://ca.wikipedia.org/wiki/Mary_Anne_Whitby
http://www.wikidata.org/entity/Q15444704	Diva Diniz Corrêa	https://ca.wikipedia.org/wiki/Diva_Diniz_Corr%C3%AAa
http://www.wikidata.org/entity/Q15062342	Lurdes Foresti de Almeida Toledo	https://ca.wikipedia.org/wiki/Lurdes_Foresti_de_Almeida_Toledo
http://www.wikidata.org/entity/Q21103303	María del Carmen Pérez Díe	https://ca.wikipedia.org/wiki/Mar%C3%ADa_del_Carmen_P%C3%A9rez_D%C3%ADe
http://www.wikidata.org/entity/Q21475329	Marcelle Werbrouck	https://ca.wikipedia.org/wiki/Marcelle_Werbrouck
http://www.wikidata.org/entity/Q6153361	Janet Gourlay	https://ca.wikipedia.org/wiki/Janet_Gourlay
