item	itemLabel	enarticle
http://www.wikidata.org/entity/Q97141	Waltraut Seitter	https://en.wikipedia.org/wiki/Waltraut_Seitter
http://www.wikidata.org/entity/Q97367	Gertrud Luckner	https://en.wikipedia.org/wiki/Gertrud_Luckner
http://www.wikidata.org/entity/Q98383	Martina Löw	https://en.wikipedia.org/wiki/Martina_L%C3%B6w
http://www.wikidata.org/entity/Q100156	Gertrud Grunow	https://en.wikipedia.org/wiki/Gertrud_Grunow
http://www.wikidata.org/entity/Q101405	Antje Boetius	https://en.wikipedia.org/wiki/Antje_Boetius
http://www.wikidata.org/entity/Q104173	Hélène Esnault	https://en.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Esnault
http://www.wikidata.org/entity/Q101030	Maria von Wedemeyer	https://en.wikipedia.org/wiki/Maria_von_Wedemeyer
http://www.wikidata.org/entity/Q90047	Käte van Tricht	https://en.wikipedia.org/wiki/K%C3%A4te_van_Tricht
http://www.wikidata.org/entity/Q90576	Karin Reich	https://en.wikipedia.org/wiki/Karin_Reich
http://www.wikidata.org/entity/Q91861	Renate Loll	https://en.wikipedia.org/wiki/Renate_Loll
http://www.wikidata.org/entity/Q92018	Hermine Hartleben	https://en.wikipedia.org/wiki/Hermine_Hartleben
http://www.wikidata.org/entity/Q95166	Aniela Jaffé	https://en.wikipedia.org/wiki/Aniela_Jaff%C3%A9
http://www.wikidata.org/entity/Q106209	Alice Salomon	https://en.wikipedia.org/wiki/Alice_Salomon
http://www.wikidata.org/entity/Q90838	Elisabeth Abegg	https://en.wikipedia.org/wiki/Elisabeth_Abegg
http://www.wikidata.org/entity/Q91123	Draga Matković	https://en.wikipedia.org/wiki/Draga_Matkovi%C4%87
http://www.wikidata.org/entity/Q93815	Karen Wynn Fonstad	https://en.wikipedia.org/wiki/Karen_Wynn_Fonstad
http://www.wikidata.org/entity/Q94555	Noreena Hertz	https://en.wikipedia.org/wiki/Noreena_Hertz
http://www.wikidata.org/entity/Q96941	Liselotte Welskopf-Henrich	https://en.wikipedia.org/wiki/Liselotte_Welskopf-Henrich
http://www.wikidata.org/entity/Q102019	Erika Pannwitz	https://en.wikipedia.org/wiki/Erika_Pannwitz
http://www.wikidata.org/entity/Q102600	Marguerite Vogt	https://en.wikipedia.org/wiki/Marguerite_Vogt
http://www.wikidata.org/entity/Q104597	Erna Barschak	https://en.wikipedia.org/wiki/Erna_Barschak
http://www.wikidata.org/entity/Q106185	Claudia Kemfert	https://en.wikipedia.org/wiki/Claudia_Kemfert
http://www.wikidata.org/entity/Q106280	Ulrike Beisiegel	https://en.wikipedia.org/wiki/Ulrike_Beisiegel
http://www.wikidata.org/entity/Q106616	Kathrin Bringmann	https://en.wikipedia.org/wiki/Kathrin_Bringmann
http://www.wikidata.org/entity/Q107601	Sabine Hark	https://en.wikipedia.org/wiki/Sabine_Hark
http://www.wikidata.org/entity/Q108238	Annette M. Böckler	https://en.wikipedia.org/wiki/Annette_M._B%C3%B6ckler
http://www.wikidata.org/entity/Q109322	Else Ackermann	https://en.wikipedia.org/wiki/Else_Ackermann
http://www.wikidata.org/entity/Q112883	Edith Bülbring	https://en.wikipedia.org/wiki/Edith_B%C3%BClbring
http://www.wikidata.org/entity/Q118080	Susanne Hirzel	https://en.wikipedia.org/wiki/Susanne_Hirzel
http://www.wikidata.org/entity/Q121500	Johanna Elberskirchen	https://en.wikipedia.org/wiki/Johanna_Elberskirchen
http://www.wikidata.org/entity/Q121753	Eva Brunne	https://en.wikipedia.org/wiki/Eva_Brunne
http://www.wikidata.org/entity/Q123131	Edith Alice Müller	https://en.wikipedia.org/wiki/Edith_Alice_M%C3%BCller
http://www.wikidata.org/entity/Q135158	Melly Oitzl	https://en.wikipedia.org/wiki/Melly_Oitzl
