order	rank	section	wd_q_id	lang
2	1	أقسامها	Q1435690	ar
2	2	الإفتتاح	Q1435690	ar
3	1	انظر ايضاً	Q1435690	ar
3	2	الخدمات	Q1435690	ar
4	1	الفن المعاصر	Q1435690	ar
4	2	المنشأت	Q1435690	ar
0	1	موقعه	Q174274	ar
0	2	التأسيس	Q174274	ar
1	1	المجموعة	Q174274	ar
1	2	العمارة	Q174274	ar
2	1	أهداف المتحف	Q174274	ar
2	2	الهندسة المعمارية	Q174274	ar
3	1	مجموعات المتحف	Q174274	ar
3	2	معارض	Q174274	ar
0	1	تاريخ المكتبة	Q2984686	ar
0	2	التأسيس	Q2984686	ar
1	1	أهداف المكتبة	Q2984686	ar
1	2	المكتبة	Q2984686	ar
2	1	أقسامها	Q2984686	ar
2	2	الإفتتاح	Q2984686	ar
3	1	انظر ايضاً	Q2984686	ar
3	2	الخدمات	Q2984686	ar
4	1	الفن المعاصر	Q2984686	ar
4	2	المنشأت	Q2984686	ar
0	1	موقعه	Q13218762	ar
0	2	التأسيس	Q13218762	ar
1	1	المجموعة	Q13218762	ar
1	2	العمارة	Q13218762	ar
2	1	أهداف المتحف	Q13218762	ar
2	2	الهندسة المعمارية	Q13218762	ar
3	1	مجموعات المتحف	Q13218762	ar
3	2	معارض	Q13218762	ar
0	1	تاريخ المكتبة	Q841507	ar
0	2	التأسيس	Q841507	ar
1	1	أهداف المكتبة	Q841507	ar
1	2	المكتبة	Q841507	ar
2	1	أقسامها	Q841507	ar
2	2	الإفتتاح	Q841507	ar
3	1	انظر ايضاً	Q841507	ar
3	2	الخدمات	Q841507	ar
4	1	الفن المعاصر	Q841507	ar
4	2	المنشأت	Q841507	ar
0	1	موقعه	Q1464509	ar
0	2	التأسيس	Q1464509	ar
1	1	المجموعة	Q1464509	ar
1	2	العمارة	Q1464509	ar
2	1	أهداف المتحف	Q1464509	ar
2	2	الهندسة المعمارية	Q1464509	ar
3	1	مجموعات المتحف	Q1464509	ar
3	2	معارض	Q1464509	ar
0	1	تاريخ المكتبة	Q627423	ar
0	2	التأسيس	Q627423	ar
1	1	أهداف المكتبة	Q627423	ar
1	2	المكتبة	Q627423	ar
2	1	أقسامها	Q627423	ar
2	2	الإفتتاح	Q627423	ar
3	1	انظر ايضاً	Q627423	ar
3	2	الخدمات	Q627423	ar
4	1	الفن المعاصر	Q627423	ar
4	2	المنشأت	Q627423	ar
0	1	موقعه	Q4823962	ar
0	2	التأسيس	Q4823962	ar
1	1	المجموعة	Q4823962	ar
1	2	العمارة	Q4823962	ar
2	1	أهداف المتحف	Q4823962	ar
2	2	الهندسة المعمارية	Q4823962	ar
3	1	مجموعات المتحف	Q4823962	ar
3	2	معارض	Q4823962	ar
0	1	موقعه	Q61084335	ar
0	2	التأسيس	Q61084335	ar
1	1	المجموعة	Q61084335	ar
1	2	العمارة	Q61084335	ar
2	1	أهداف المتحف	Q61084335	ar
2	2	الهندسة المعمارية	Q61084335	ar
3	1	مجموعات المتحف	Q61084335	ar
3	2	معارض	Q61084335	ar
0	1	موقعه	Q679075	ar
0	2	التأسيس	Q679075	ar
1	1	المجموعة	Q679075	ar
1	2	العمارة	Q679075	ar
2	1	أهداف المتحف	Q679075	ar
2	2	الهندسة المعمارية	Q679075	ar
3	1	مجموعات المتحف	Q679075	ar
3	2	معارض	Q679075	ar
0	1	موقعه	Q705557	ar
0	2	التأسيس	Q705557	ar
1	1	المجموعة	Q705557	ar
1	2	العمارة	Q705557	ar
2	1	أهداف المتحف	Q705557	ar
2	2	الهندسة المعمارية	Q705557	ar
3	1	مجموعات المتحف	Q705557	ar
3	2	معارض	Q705557	ar
0	1	موقعه	Q163804	ar
0	2	التأسيس	Q163804	ar
1	1	المجموعة	Q163804	ar
1	2	العمارة	Q163804	ar
2	1	أهداف المتحف	Q163804	ar
2	2	الهندسة المعمارية	Q163804	ar
3	1	مجموعات المتحف	Q163804	ar
3	2	معارض	Q163804	ar
0	1	موقعه	Q808462	ar
0	2	التأسيس	Q808462	ar
1	1	المجموعة	Q808462	ar
1	2	العمارة	Q808462	ar
2	1	أهداف المتحف	Q808462	ar
2	2	الهندسة المعمارية	Q808462	ar
